EmpleadoId;Fecha;Entrada;Salida
4296862;03/10/2020;03/10/2020 07:53;
4296862;04/10/2020;;
4296862;05/10/2020;;
4296862;06/10/2020;;
4296862;07/10/2020;;
4296862;08/10/2020;08/10/2020 07:28;
4296862;09/10/2020;;
4296862;10/10/2020;;
4296862;11/10/2020;;
4296862;12/10/2020;;
4296862;13/10/2020;;
4296862;14/10/2020;;
4296862;15/10/2020;;
4296862;16/10/2020;;
4296862;17/10/2020;;
4296862;18/10/2020;;
4296862;19/10/2020;;
4296862;20/10/2020;;
4296862;21/10/2020;;
4296862;22/10/2020;;
4296862;23/10/2020;;
4296862;24/10/2020;;
4296862;25/10/2020;;
4296862;26/10/2020;;
4296862;27/10/2020;;
4296862;28/10/2020;;
4296862;29/10/2020;;
4296862;30/10/2020;;
4296862;31/10/2020;;
4296862;01/11/2020;;
4296862;02/11/2020;;
4296862;03/11/2020;;
4296862;04/11/2020;;
4296862;05/11/2020;;
4296862;06/11/2020;;
4296862;07/11/2020;07/11/2020 08:41;
4296862;08/11/2020;;
4296862;09/11/2020;09/11/2020 07:12;
4296862;10/11/2020;10/11/2020 08:18;
4296862;11/11/2020;11/11/2020 07:40;
4296862;12/11/2020;12/11/2020 07:00;
4296862;13/11/2020;13/11/2020 07:30;13/11/2020 14:28
4296862;14/11/2020;;
4296862;15/11/2020;;
4296862;16/11/2020;16/11/2020 07:00;
4296862;17/11/2020;;
4296862;18/11/2020;;
4296862;19/11/2020;;
4296862;20/11/2020;;
4296862;21/11/2020;;
4296862;22/11/2020;;
4296862;23/11/2020;;
4296862;24/11/2020;;
4296862;25/11/2020;;
4296862;26/11/2020;;
4296862;27/11/2020;;
4296862;28/11/2020;;
4296862;29/11/2020;;
4296862;30/11/2020;;
4296862;01/12/2020;;
4296862;02/12/2020;;
4296862;03/12/2020;;
4296862;04/12/2020;;
4296862;05/12/2020;05/12/2020 08:16;
4296862;06/12/2020;;
4296862;07/12/2020;;
